"x" "y"
"3 vikings_J8.6" -1205.04334829265 486.986977524035
"3 villageois_K2.27" -2567.06917017604 -1759.88739180964
"3 Voleurs_32.30" -623.512087924641 -450.155250511796
"4 éphèbes_5.28" -1664.36440601448 158.467346454585
"4 gardes_9.5" -2521.46313306042 -1134.04032769816
"4 mages rouges_31.26" -870.699178864171 -1316.73976038996
"4 soldats_4.30" -1509.74453666886 171.913110618572
"4 voleurs_20.25" 384.83683653052 -1955.10748320164
"6 dieux_L2.26" 553.030982521402 -2221.03540903236
"6 gardes_3.19" -774.128346909135 -250.654322248418
"Aakon" -1232.72749443369 -1128.43637683783
"Aaricia Gandalfsdottir" -509.541404195594 -539.76323896469
"Abd El Bouheddi" -271.880945291214 560.553612127013
"Abdel El Hal" -1269.88521871517 -2845.90312012722
"Abdel Razek" 769.673684006982 -696.965706197132
"Adolescents_J11.9" 607.41134551061 294.907425923169
"Adultes_K6.50" -2714.07597489961 -2667.29130210427
"Africain_3.19" -794.795184491975 -302.618794275958
"Agrippa" -2007.33128421543 -1998.11273166329
"Ahmed Al Waloud" -2109.37692022094 -1249.45623331514
"Akwila" -993.799562508513 -297.573482155653
"Alad" -1850.57765203042 -731.401779930413
"Alfes de lumière_L7.9" 783.304835201182 -2055.83403511563
"Alfes loyalistes_L7.10" 346.057558889076 -1572.14426452582
"Alfes lumière_L7.19" 301.798665107344 -3055.97163826432
"Alfes noirs_L6.16" 214.047305617251 -1166.06840156975
"Alfes noirs_L6.8" 1435.08220884584 -1639.89570390384
"Alfes noirs_L7.11" 1005.1071125825 -2462.20344324079
"Alfes noirs_L7.27" 127.040792340443 -1019.93073308982
"Alfes rebelles_L7.10" 387.542609342318 -1615.76278555575
"Alf'Lolth" 389.495616546795 -1302.96083368519
"Alföng" -271.331907606851 977.609015610048
"Alinoë" -939.686616297276 -819.381272298187
"Alkant" -444.330852731252 -104.001531367578
"Althar" -1556.01625023874 -1710.04253366566
"Althing_38.28" 389.514719817909 -1352.19678900147
"Amalrik" -2969.59794393304 -2029.05259527939
"Amants_J10.16" -295.65565536145 684.150034226328
"Ami d'Argun_K1.20.1" -2042.86521836152 -1401.93779941581
"Ami d'Argun_K1.20.2" -1987.60021674091 -1656.41671524363
"Amos" -97.3761545945426 312.130565246548
"Amoureux de Yasmina" 962.890455208295 -988.442563600904
"Angakkuq" -1488.27163777042 421.678669756216
"Ange_4.34" -1466.91716706222 325.881161064243
"Ange_4.35" -1520.78923795165 308.034271452103
"Angrboda" 1081.69454461482 564.863359298584
"Aniel de Valnor" -1368.46876164225 -1111.87079897266
"Anina" -14.9075750081952 -459.043326975675
"Araignée_24.20" 268.790147130512 -721.41219568007
"Araignée_24.30" -691.799003569719 157.53346529634
"Araignée_24.37" -915.878777769539 654.940853440742
"Arbitres_27.39" -1251.98999977608 -1506.04391110172
"Archer jumeau marron_9.29.2" -1695.46295960023 -791.949460554803
"Archer jumeau vert_9.29.1" -1796.99702693225 -764.939881633212
"Archers_25.21" -251.657436595681 122.849373779439
"Archers_25.37" 354.089638045135 -263.508964324648
"Archers_27.35" -944.653914142046 -2401.24592440681
"Archers_27.39" -1217.18981260094 -1463.45483818059
"Archers_9.29" -1734.65090215538 -776.738277744098
"Archers_J10.22" -643.203244071341 1107.72166244722
"Archers_J10.29" -394.279363520584 784.715750716642
"Argun Pied d'Arbre" -1229.28631822807 -1034.74141348474
"Arisön" -835.739406831161 -1163.627587612
"Arkadès" -730.276933154675 -1417.21211894221
"Arlac d'Auxaterra" -772.749961263502 -2094.14031564611
"Arlane" -2800.64329430097 -1013.50307406072
"Arlesthön" -575.998988180642 237.935617476531
"Armée de Francus_K5.21" -1194.18941372608 -2165.34016838782
"Armée de géants_32.35" -150.738119782518 -1941.25975118953
"Armée de Kriss_K4.45" -1915.08794770165 -2446.87579356565
"Armée de Magnus_33.8" -636.97603713388 -2187.69899620624
"Armée de Magnus_35.16" 1548.76734703444 -1168.09559906155
"Armée de Magnus_K4.45" -1108.76896766954 -2525.89675766327
"Armée de Magnus_K5.17" -1199.74829635082 -2294.12994265817
"Armée de Magnus_K7.31" 1314.47612480206 -1937.49030674715
"Armée de Sologhonn_K4.9" -1023.32896252334 -2224.12283595467
"Armée de Taljar_K5.14" -1137.47251513809 -2101.79810493041
"Armée de Taljar_K7.32" -536.79058819845 -2313.37647707479
"Armée de Waloud_34.14" -2967.57118359325 -1580.01728163991
"Armée du duc_K4.10" -833.826141685008 -2443.33232023787
"Armée qui vit_32.10" -478.94576235794 -1951.01887870207
"Armée rouge_35.18" 1533.64892154926 -1300.99670772511
"Armée rouge_35.36" -2345.27958800654 -534.217494980139
"Armée_12.4" -2326.09966199435 -377.008630061226
"Armée_K5.12" -1187.92158211081 -3177.67229307995
"Armée_K5.3" -2309.15506051607 -2327.31486309708
"Armenos" -1101.75314021939 -889.045794237972
"Armurier_27.26" -1375.74744647573 908.85054416809
"Arn Sakknüssen" -135.389850510067 -417.440222037555
"Arneg" -2476.57612856073 -1266.71082994219
"Artisans_K5.17" -990.816152668697 -2793.17133614072
"Arvid" -908.519992194834 540.65873857759
"Asketill" 346.902939089268 72.8139128630251
"Aslak" -824.260638120345 736.380143024609
"Astronautes_7.39.1" -1450.44007582709 -240.460514189019
"Astronautes_7.39.2" -1500.26754895725 -269.184170926948
"Atlante_40.41" -1134.34609555076 -1241.40467246407
"Atlantes_39.43" -535.197133573969 -641.559109852415
"Atlantes_39.48" -2005.5919192898 413.853937068333
"Atlantes_40.15" -1479.09669937462 -13.8240884631846
"Atlantes_40.25" -905.147013458016 -362.056693577455
"Atlantes_40.35" -1696.57578559602 589.074377706049
"Aubergiste_12.9" -2207.25664060492 34.9167945601612
"Aubergiste_32.28" -2058.32379088863 -63.3815697735349
"Aubergiste_5.4" -1522.26617471302 111.307343829462
"Aubergiste_J4.21" 156.444051521591 681.571163022973
"Aubergiste_K1.33" -2973.22756544473 -877.111983367408
"Aubergiste_K3.35" -2229.40539630843 -2125.38492641817
"Ava" -122.038114882609 -1103.13736545479
"Avrenim" 239.795492409683 -1427.83173528516
"Azkel" -1680.96309319745 -1848.89280269466
"Azzalepstön" 205.648032572753 -1105.54643240231
"Baalds_1.21" -538.347819151881 -36.6671004364375
"Badeaux_K1.18" -1928.91484697138 -1670.63809628788
"Baigneur_L2.44" 1080.99461527001 -1874.66176639791
"Balder" -25.2460235216295 -1721.90835897773
"Baldsönn" -1358.87722684802 721.157874109649
"Bandit bleu_10.3" -1014.00030808473 -1485.53492000656
"Bandit_J1.29.2" -1225.28704842031 356.440857250651
"Bandit_J1.29.3" -1432.74978178808 664.00468521599
"Barbu_23.15" 46.9352753002422 -1113.99775208899
"Barbu_L5.3" 416.815954189212 -985.985755426982
"Barons_6.10" 46.0358497697453 -937.115453241872
"Batteur_4.25" -1440.7253128435 489.488352223339
"Bé-ki" -846.734221976858 -703.722508088531
"Bemba" -992.107797372794 -1164.23253111676
"Bergelmir" -1347.22157151923 -77.9486552382764
"Berger_34.7" 1428.10999851628 -335.19015244004
"Berger_K1.22" -2607.74293614083 -1691.14781164944
"Berserkers_J3.35" -689.398532466088 201.352608117133
"Berserkers_J4.32" 473.935097540941 803.560558707276
"Bhunik" -1709.53147897752 -2453.81305849997
"Biarn" -245.454193381857 43.4942210969734
"Biarn_29.26" -497.858992196565 -1361.35944692604
"Biche_30.7" 481.547146546045 -1745.53793632489
"Binôme_27.11.1" -1496.12378345767 -1386.25818041588
"Binôme_27.11.2" -2234.15856824723 236.870994163241
"Binôme_27.11.3" -2427.28424828109 317.556322431991
"Binôme_27.9" -1380.74724406275 -1342.22545143579
"Birbu" -431.99772044655 -1971.10085440302
"Björg" -2135.13146670996 -2240.13395168268
"Björn Gandalfson" -749.01022952449 16.5407076368651
"Bjorn_J10.54" -1587.1515957574 1082.43703982319
"Björn_J9" -81.1342633169988 388.489041585746
"Björnulf" -796.342464817477 698.925068643608
"Bohr" -2072.33211078056 -1107.28621684716
"Boréale" -797.953233292741 -667.486168838145
"Bourreau_35.6" -1947.16761143792 -907.266357748743
"Bourreau_K5.8" -1230.24293266512 -2897.6612486594
"Brigand_K3.38.1" -2151.14573888497 -2354.80741182018
"Brigand_K3.38.2" -2099.34957694107 -2345.72945685027
"Brigand_K3.38.3" -2061.78777011282 -2386.06083450002
"Brigand_K3.42.1" -1850.96584742641 -1998.42746162437
"Brigand_K3.42.2" -1905.57681591559 -2006.90242860879
"Brigand_K3.42.3" -1777.36915339379 -2028.69186233125
"Brigand_K3.42.4" -1842.95532594908 -2243.98632462707
"Brilö" -951.562624231166 558.159187431743
"Brünhild" -2347.49387476088 -2278.7183987925
"Burbi" -439.845295857542 -1994.19801145358
"Caleb" -1074.5736154483 93.2307410596741
"Calédoniens_9.42" -1969.75957512196 -788.400958404042
"Calife_34.7" 1533.4783220838 -528.285451443774
"Capitaine arbalette_21.4.4" -1477.03301410446 -1317.52648268825
"Capitaine bleu_21.4.3" -1503.8436934005 -1270.23297362468
"Capitaine bonnet_21.4.2" -1486.16262454874 -1212.62653882228
"Capitaine chauve_21.4.1" -1445.73154267117 -1180.50119597412
"Capitaine du duc_K4.10" -725.489653413463 -2920.43785747552
"Capitaine fourrure_21.4.5" -1449.12503324308 -1261.11703088246
"Capitaine_10.19" -1288.91534122793 -804.871488376238
"Capitaine_33.12" -2111.23646648509 -773.387773125636
"Capitaine_34.24" -1925.02788747083 -428.767567357538
"Capitaine_34.3" -2157.01039475431 -1416.43630892424
"Capitaine_4.25" -1359.93199340844 58.3600905910425
"Capitaine_6.19" -2339.420082766 290.297832464896
"Capitaine_6.20" -347.510928629701 150.584986304032
"Capitaine_K4.12" -800.995453399029 -3000.43537409304
"Capitaine_K5.39" -1185.1819191288 -2975.51228111019
"Capitaine_K7.18" -2049.60810480296 -2309.16885146463
"Capitaines_K5.37" -1077.8873353545 -2951.2792932888
"Caravane_34.33" -1844.58031306158 -504.925349479235
"Caravane_34.6" 493.069441697374 -2771.18284987125
"Caravane_L2.8" 1018.14739234673 -1784.5616992865
"Cavaliers de Gandalf_J4.5" -262.810361536543 491.271013238652
"Cavaliers_6.11" -1344.56736544877 846.64716642708
"Cavaliers_K5.28.1" -1495.21683752551 -2885.08001714652
"Cavaliers_K5.28.2" -1553.47967437376 -2867.34671664702
"Chaams_10.22.1" -2511.06901906584 -188.847359646512
"Chaams_10.22.2" -2520.65450852111 -273.579804021621
"Chaams_10.22.3" -2563.49746301159 -374.523515142444
"Chaams_10.25.0" 928.155751144772 -2538.55464070274
"Chaams_10.25.1" -3421.03713708129 -209.606838273692
"Chaams_10.25.2" 1435.28799218405 -117.620105492935
"Chaams_10.26" 1304.32914426418 42.4306238277409
"Chaams_10.27" 272.856604835469 -2945.57316051152
"Chaams_10.27.1" -2566.14520056937 -222.723109513288
"Chaams_12.3" -2571.45494268488 -309.752166407293
"Chambellan_K2.12" -3224.694683824 -1096.03328989905
"Charpentiers_25.16" -754.808761476284 858.803253567257
"Chasseurs_34.11" -1771.26921293212 -3240.08872585157
"Chat ailé de Frigg_7.23.1" -1000.86084607138 -237.495560713766
"Chat ailé de Frigg_7.23.2" -1023.43618749141 -246.108162455066
"Chats ailés de Frigg_37.30" -1865.2612362842 784.513438970863
"Chats ailés_J1.47" 140.579993929058 -1795.03020951766
"Chats ailés_J2.43" -1975.7341836163 620.512971160367
"Chats ailés_L5.44" 100.399527623424 -1691.15385927382
"Chats ailés_L6.42" 73.0346358328702 -837.36710396805
"Chats ailés_L7.44" 190.888700221804 -772.194995702547
"Chef du village_19.15" -1919.21618877078 -289.785831907092
"Chef du village_L4.26" 1312.56337955506 -887.589658103371
"Chef enfant_K6.19" -2480.3826366904 -2336.26739926994
"Chef troglodyte_J11.27" 562.897459331537 241.915678586005
"Chevalier_5.28" -1639.59326690479 207.575746387953
"Chèvre_8.38" 635.853939877596 -404.868442201113
"Chiens_L4.24" 575.407200148623 -920.321115836471
"Chinois_3.19" -908.302994752858 -208.16933847907
"Chloé Minkelsönn" -390.056113904357 -465.404703558707
"Chrysios" -750.543412119538 -1006.44784423764
"Citadins_32.22" -1908.96612311294 -744.459704269389
"Citadins_35.17.1" 1213.50530170096 -2100.72981200073
"Citadins_35.17.2" 1562.3534 -970.835430307061
"Citadins_35.17.3" 1561.8952842136 -1072.49764990306
"Citadins_35.18" 710.436253883606 -2774.1183015621
"Citadins_35.3" 352.794121905967 -2883.69075349368
"Citadins_35.33" -2071.52729480479 -621.423997140431
"Citadins_35.45" -3091.25652148978 -955.129206588296
"Clan_2.29" -1420.40644497121 742.285569771032
"Clay" -1594.00056580692 -1828.28276436657
"Cléo" -794.880979942498 -799.269927595
"Client roux_5.4" -1566.82561856649 82.1754664102232
"Clients_12.9" -2126.94486869008 101.760366014549
"Clients_32.28" -2040.35305357526 -126.807786821386
"Clients_34.17" -2926.14646562283 -1307.85721249288
"Clients_34.24" -3140.61852770137 -1054.52979573218
"Clients_5.4" -1503.80636947776 -73.0736181469674
"Clients_J4.21" 99.1748628568703 731.26766726746
"Clients_K1.33" -2924.96012830528 -853.926566610643
"Clients_K1.37" -2902.88581490573 -558.980947578869
"Commandant_K5.43" -1526.48213365046 -2412.00598807447
"Commandant_K8.38" -2153.71379887526 -2064.11169986348
"Concubines_34.9" -1873.1006988503 -2403.85521479867
"Conducteur d'Héraclius_27.7" -1269.83666255264 -1258.68269910893
"Conducteurs_27.35" -1100.04499342416 -2375.01166783049
"Conseil Atlante_40.13" -2849.6206960479 586.99621600239
"Contarque_J6.3" -86.8176073802456 -145.186891521319
"Convives_9.39" -1698.92940532271 -1015.23932891402
"Cosmonautes_26.19" -1721.03046330182 -212.567808283783
"Couple_K2.15" -2564.34284321178 -1286.57254416192
"Cour de Magnus_K7.37" -1266.73074875507 -3178.28888520253
"Cour_6.6" 475.00862883349 -267.19634938471
"Cour_K4.28" -1218.70682995961 -2806.92310285575
"Cour_L5.48" 679.269992501499 -1727.41297670226
"Cours_23.16" 185.771804419126 -704.58220022592
"Courtisane_6.29" -1946.68883268296 590.882991600446
"Courtisanes_J7.38" -224.575212764228 1074.9510223851
"Courtisans_25.5" -1076.34692495219 946.667268901331
"Courtisans_6.12" 219.611556502983 -468.424954773066
"Courtisans_6.21" 116.767343311509 -515.713792318397
"Courtisans_J10.16" -609.880223380444 791.991489478628
"Crabes_29.31" -481.002447125584 -1149.02791015958
"Croc-Bleu" -464.014766561878 645.84925812043
"Croisés_35.35" 1106.39047970784 -2315.09660975817
"Croisés_35.36" -2148.68298869937 -850.920357714534
"Croisés_K6.6" -2460.87795506926 -2067.28684751709
"Croisés_K8.36" -2047.95857361428 -2215.04886444992
"Crucifié_K8.36" -2155.1058711683 -2000.01634516624
"Crucifiés_35.17" 1320.9356903878 140.813908396016
"Cuisinier_J8.35" 277.340432742237 83.0654208117335
"Cuisiniers_J7.40" 231.277368001227 162.916321769103
"Cul-de-jatte_23.16" 367.575338383951 -627.663745253864
"Cybèle" -2213.0444481254 529.386739281138
"Dagmar_J11.37" 487.413664379786 254.48853275093
"Dame Le Devehat" -454.015159297162 798.071102292569
"Darek le Svéar" -943.079744148848 -1044.35246473323
"Déesse_30.42" -613.531450933582 -2747.49535535486
"Démon de lave_L6.9" 33.971166806909 -3182.3537096222
"Deux femmes_J9.8" 107.16704277579 889.144462725108
"Devin_24.25" 336.395535442575 -116.692440954563
"Dhrys" -908.64355892318 1162.30346422358
"Dieux_19.14" 204.451539085753 -2417.84152311397
"Dieux_22.22" 1544.23950906005 -712.047334649677
"Dieux_32.43" -106.798419897883 -1902.04917578296
"Dieux_32.47" -132.406306463727 -1998.42126914671
"Dieux_L2.25" 245.056629999951 -2139.26392259624
"Dieux_L2.26" 1357.98285751037 -1841.56749996918
"Dignitaires_11.37" -2323.5104433177 -272.88362709356
"Disciples_34.7" 1474.84385406831 -255.321808733706
"Dji Hins" 1504.46903764269 -386.056189984844
"Domestiques_J8.10" -121.910920950886 948.259689277415
"Domestiques_L6.27.1" 750.250977182149 -593.122804989541
"Domestiques_L6.27.2" 959.524652288824 -768.848771498468
"Domestiques_L6.48" 932.455800747151 -1342.32109081298
"Dominants_2.31" -1141.08363791256 376.437369517227
"Dracon" -29.0189679293917 192.955101423449
"Dragon_L3.13" 516.336742287326 -1573.1436314371
"Dragon_L3.24" 400.300329963551 -1702.01548923199
"Dragon_L3.29" 421.96489028838 -1654.04829171187
"Dragon_L3.31" 468.42997007024 -1635.10486278072
"Dragon_L3.39" 502.242880849114 -1464.4413614345
"Dragov" -1900.57659515484 -589.473214564088
"Draye" -991.290657369021 -2066.75918323647
"Driss Ibn Fadlân" 642.859278664655 -1475.0441023705
"Driss_L1" 746.619179348429 -1240.41992366282
"Duhedos" -1399.85972827351 -2036.1713613718
"Dzjaïn_40.3" -1712.76266428903 478.060514941326
"Ecuyer_K4.30" -1382.65058276233 -2309.85111040684
"Egiwde" 280.298779815791 -961.232840904271
"Einar" -536.408982221927 -680.018850360471
"Eliocle" -253.227483667707 -297.498701650576
"Elkie" 214.597915089745 -1355.5702649357
"Empereur romain" -949.813006410666 -1658.81958971349
"Endormie_39.38" -378.299791591201 -592.660034977731
"Enfant géant_22.28.1" -1371.51157419176 579.066464687522
"Enfant géant_22.28.2" -1272.71521115192 619.441781165114
"Enfant_4.11" -977.218861418014 14.5649692722841
"Enfant_K6.17" -2422.40541792666 -2232.6569875745
"Enfant_K6.38" -2695.95132325631 -1809.2856672957
"Enfant_K6.50" -2630.1897633271 -2724.10927636903
"Enfants nobles_27.25" -1690.66441134719 -1169.2729423678
"Enfants_4.3" -1377.58363355014 302.701135867218
"Enfants_7.32" -1918.37963476547 537.673433216693
"Enfants_J4.32" 364.71202403885 925.969183922065
"Enfants_K6.19" -2508.01636470451 -2176.20766490378
"Enfants_K6.49" -2504.95935769912 -2248.9312534253
"Enfants_L2.6" 653.248919108404 -1547.83333356944
"Enfants_L4.7" 1176.05140417315 -653.940504196349
"Enyd" -612.161698031984 405.543945897136
"Éphèbes_L1.33" 411.595078556419 -1785.45822036997
"Éphèbes_L2.6" 603.435809703615 -1601.48167667629
"Éphèbes_L3.40" 539.501393021734 -1416.06019738635
"Équipage_1.4" 170.836371344267 -168.482557919093
"Équipage_10.17" -1267.8483142966 -765.304762213565
"Équipage_10.18" -967.333341790154 -1889.78706811395
"Équipage_11.24" -1691.12256340563 -392.104454135074
"Équipage_13.45" -792.794177296154 -731.228238459985
"Équipage_13.47" -870.266211687843 -832.090894514545
"Équipage_16.6" -491.936530796087 -709.811367370089
"Équipage_2.9" -1237.92447888691 88.7228466740853
"Équipage_20.41" -856.718691712818 -1491.93907659121
"Équipage_22.4" -1798.81461854402 -651.026502861844
"Équipage_33.3" -3029.99317737407 -1247.36935627255
"Équipage_39.9" -118.897561292793 -1716.90857907133
"Equipage_40.5" -1665.65170049266 441.048329459647
"Equipage_40.7" -1026.81425640363 -910.515257449152
"Équipage_J10.53" -999.94858628627 133.786448153552
"Équipage_J3.17" -181.771504614279 513.984128034321
"Erik_20.3" -477.280126386275 -1202.83276723395
"Erik_J10.5" -507.103814710747 1106.38961583942
"Erika Einarson" -389.814711428999 -584.643733828898
"Ernhild" -186.594838757051 -1082.11983071178
"Erwin" -2441.69464366725 -2165.90256124199
"Esclavagiste byzantin_20.32" -1264.31099302015 -1718.87496232834
"Esclavagiste_K6.49" -2759.23598690675 -2540.44316532249
"Esclave blonde_4.18" -1218.06260236798 174.953387798697
"Esclave brune_4.18" -1295.05374213606 146.494498711837
"Esclave_20.18" -414.232198209515 -1340.38163819469
"Esclave_27.15" -1461.14537968998 -1103.96217209425
"Esclave_27.25.1" -1685.63408479843 -1118.02003792918
"Esclave_27.25.2" -1570.21858923925 -1327.83281760291
"Esclave_27.27" -1754.46329152959 -1207.65884391709
"Esclave_K3.6.1" -1662.51170307403 -1669.85938920434
"Esclave_K3.6.2" -1960.65922411824 -2271.71582917175
"Esclaves_18.10" -2300.04473470308 11.5961892562541
"Esclaves_20.18" -236.361931041675 -1318.67869395067
"Esclaves_20.31" -1596.98604436173 -2216.96177270491
"Esclaves_20.37" -722.251068607069 -1892.98505430115
"Esclaves_20.39.1" -377.752688415304 -1804.44764021708
"Esclaves_20.39.2" -1041.72710215762 -1695.80490491198
"Esclaves_21.32" -1114.62546233129 -997.498838863452
"Esclaves_21.38" -649.553872649014 -1477.58835364027
"Esclaves_25.11" -589.527441156587 -778.922592758759
"Esclaves_25.17" -506.927738168193 -847.185342482247
"Esclaves_27.14" -1401.21307412517 -1309.00810800468
"Esclaves_27.28" -816.744963908945 -1109.01768429959
"Esclaves_27.3" -1169.52802169988 -1064.45301786716
"Esclaves_27.33" -1348.01665449928 -1441.11657952773
"Esclaves_27.5" -454.752231204543 -1422.96904693585
"Esclaves_27.6" -910.989779154982 -2579.96348532315
"Esclaves_28.10" -280.529975469514 -2541.49830074604
"Esclaves_28.12" -749.698938720189 -1544.81894891287
"Esclaves_28.3" -421.623834156131 -765.439770297664
"Esclaves_28.8" -29.5984741221146 -1300.55199608869
"Esclaves_33.17" -2000.20245124409 -833.958770299439
"Esclaves_34.14" -100.348164134147 -3147.88418202422
"Esclaves_34.16" -2282.65688897224 -1579.69944940444
"Esclaves_34.7" -893.986973153198 -3412.50516914877
"Esclaves_K7.26" -1847.46954982014 -2135.67820039554
"Esclaves_K8.26" -1761.1566908263 -2184.45392063239
"Esclaves_K8.41" -1360.82907334742 -1397.68734551961
"Esclaves_L7.24" 128.695220253677 -980.621319462814
"Escorte alfe_L6.38" 910.142091924778 -1421.40644219295
"Escorte de Holger_J4.3" -187.961206268831 583.525531447115
"Escorte_28.8" -24.5767803173817 -1247.872190287
"Escorte_J3.22" 195.657263593596 789.326913418767
"Escorte_J7.20" 42.0958121931249 1002.79018885094
"Escorte_K2.6" -3079.38819113637 -1111.65477444984
"Escorte_K3.24" -1450.9698651522 -2120.488040624
"Escorte_K4.33" -2404.73670574773 -1928.82204513354
"Escorte_K4.41" -1377.66408492103 -2872.65317508643
"Escorte_K8.38" -2113.9805667459 -2116.83468401331
"Eskil" -764.137384479132 765.183251785851
"Espion_34.28" -1815.08861057144 -453.444663260008
"Espion_34.38" -1951.28538197997 -522.23373495707
"Espion_34.4" -2263.53676345304 -968.891849370329
"Esprits_J11.12" -1725.9324835765 -264.509490062157
"Esprits_J11.21" -1633.40426650956 -300.951907243566
"Esprits_J11.8" -1694.04411854627 -294.154425723093
"Être de glace_L6.9" -456.236821365029 -3259.99808472885
"Évêque_K4.10" -820.322571324225 -2902.27337705004
"Évêque_K5.45" -1640.03753886497 -2470.9224035019
"Évêque_K5.8" -1157.46929218685 -2892.17468931026
"Ewan" -2453.30387079283 -1224.87291783945
"Ewing" -1206.01598287796 -90.9923308430803
"Eyskil" -466.96411817106 921.450968740376
"Falster" -442.13736194294 -175.321479548353
"Falstöf" -33.4544331244779 119.271135664803
"Famille Karhamasönn" 876.657684865 -793.307126879144
"Famille_K3.4" -606.637564015592 -2367.01987102795
"Fées_J1.18" 378.884112163207 -2236.16412687156
"Femme de Dracon" 311.19288003791 -47.9130261427408
"Femme d'Herzog_34.39" -2033.17052590327 -761.375905530966
"Femme du fermier_18.6" -1993.9362155983 484.823955941328
"Femme_J9.41" -927.787406352458 623.263734920996
"Femme_K3.28" -1913.97463807874 -2839.7461315203
"Femmes_4.4" -898.314456503777 138.312461270072
"Femmes_J9.39" -692.750672919509 339.802768248433
"Fenrir" 255.241817080067 -1808.33260514915
"Ferkel" -2208.08775380517 -1984.39005631505
"Fermier_18.6" -1832.06017426148 341.161492001709
