Name,ShortName,Sex,Named
Boros Blount,,Male,TRUE
Bowen Marsh,,Male,TRUE
Bracken men_9.6,,Male,FALSE
Bran Stark,Bran,Male,TRUE
Brandon Stark,,Male,TRUE
Brandon Tallhart,,Male,TRUE
Brandon's daughter_48.12,,Female,FALSE
Brandon's grandson_48.12,,Male,FALSE
Brave Companions_39.17,,Male,FALSE
Brave Companions_46.13,,Male,FALSE
Brave Companions_47.24,,Male,FALSE
Brienne of Tarth,Brienne,Female,FALSE
Bronn,,Male,TRUE
Bryce Caron,,Male,TRUE
Brynden Tully,,Male,TRUE
Cadwyn,,Male,TRUE
Captain_30.13,,Male,FALSE
Captain's daughter_30.13,,Female,FALSE
Castle children_26.13,,Mixed,FALSE
Cat_10.14,,Unknown,FALSE
Catelyn Stark,Catelyn,Female,TRUE
Catspaw assassin_4.24,,Male,FALSE
Cersei Lannister,Cersei,Female,TRUE
Cerwyn men_33.12,,Male,FALSE
Chataya,,Female,TRUE
Chataya's prostitute_12.25,,Female,FALSE
Chella,,Female,TRUE
Chett,,Male,TRUE
Child of the forest_23.10,,Unknown,FALSE
Children of the forest_23.10.1,,Mixed,FALSE
Children of the forest_23.10.2,,Mixed,FALSE
Children of the forest_23.10.3,,Mixed,FALSE
Children of the forest_7.23,,Mixed,FALSE
Children_46.5,,Male,FALSE
Chiswyck,,Male,TRUE
Clansmen_10.8,,Male,FALSE
Clansmen_13.22,,Unknown,FALSE
Clansmen_21.11,,Male,FALSE
Clansmen_21.5,,Male,FALSE
Clansmen_27.13,,Male,FALSE
Clansmen_49.4,,Male,FALSE
Clegane's squire_9.25,,Male,FALSE
Cleos Frey,,Male,TRUE
Cley Cerwyn,,Male,TRUE
Clients_28.5,,Mixed,FALSE
Clients_40.8,,Male,FALSE
Clients_5.14,,Male,FALSE
Clients_6.17,,Male,FALSE
Clients_9.4,,Mixed,FALSE
Cohollo,,Mixed,TRUE
Colen of Greenpools,,Male,TRUE
Conn,,Male,TRUE
Cook_39.24,,Male,FALSE
Cook_8.19,,Female,FALSE
Cooks_47.19,,Male,FALSE
Cortnay Penrose,,Male,TRUE
Craster,,Male,TRUE
Craster's wife_35.13,,Female,FALSE
Craster's wife_35.14,,Female,FALSE
Crawn,,Male,TRUE
Crowd_16.24,,Mixed,FALSE
Crowd_18.14,,Mixed,FALSE
Crowd_21.23.1,,Mixed,FALSE
Crowd_21.23.2,,Mixed,FALSE
Crowd_21.25.1,,Mixed,FALSE
Crowd_21.25.2,,Mixed,FALSE
Crowd_21.26.1,,Mixed,FALSE
Crowd_21.26.2,,Mixed,FALSE
Crowd_27.21,,Mixed,FALSE
Crowd_29.13,,Mixed,FALSE
Crowd_33.17,,Mixed,FALSE
Crowd_33.4,,Mixed,FALSE
Crowd_35.4,,Mixed,FALSE
Crowd_36.8,,Mixed,FALSE
Crowd_38.10,,Mixed,FALSE
Crowd_41.5,,Mixed,FALSE
Crowd_43.11,,Mixed,FALSE
Crowd_43.13,,Mixed,FALSE
Crowd_44.4,,Mixed,FALSE
Crowd_44.7,,Mixed,FALSE
Crowd_46.11,,Mixed,FALSE
Crowd_46.21,,Mixed,FALSE
Crowd_47.13,,Mixed,FALSE
Crowd_48.19,,Mixed,FALSE
Crowd_49.5,,Mixed,FALSE
Crowd_49.9,,Mixed,FALSE
Crowd_5.13,,Mixed,FALSE
Crowd_51.15,,Mixed,FALSE
Crowd_51.17,,Mixed,FALSE
Crowd_52.6,,Mixed,FALSE
Crowd_54.17,,Mixed,FALSE
Crowd_7.12,,Mixed,FALSE
Crowd_8.28,,Mixed,FALSE
Crowd_9.24,,Mixed,FALSE
Crowd_9.8,,Mixed,FALSE
Cutjack,,Male,TRUE
Daenerys Targaryen,Daenerys,Female,TRUE
Daenerys's khalasar_31.12,,Mixed,FALSE
Dagmer Cleftjaw,,Male,TRUE
Dancy,,Female,TRUE
Dareon,,Male,TRUE
Davos Seaworth,,Male,TRUE
Desmond Grell,,Male,TRUE
Devan Seaworth,,Male,TRUE
Dickon Tarly,,Male,TRUE
Donal Noye,,Male,TRUE
Donella Hornwood,,Female,TRUE
Donnel Waynwood,,Male,TRUE
Dontos Hollard,,Male,TRUE
Doreah,,Female,TRUE
Dothraki_20.4.1,,Male,FALSE
Dothraki_20.4.2,,Male,FALSE
Dothrakis_11.22,,Mixed,FALSE
Dothrakis_11.26,,Mixed,FALSE
Dothrakis_15.22,,Mixed,FALSE
Dothrakis_15.27,,Mixed,FALSE
Dothrakis_20.3,,Male,FALSE
Dothrakis_20.9,,Male,FALSE
Dothrakis_22.19,,Male,FALSE
Dothrakis_22.26,,Mixed,FALSE
Dothrakis_23.24,,Mixed,FALSE
Dothrakis_23.27,,Mixed,FALSE
Dothrakis_3.24,,Mixed,FALSE
Dothrakis_31.14,,Mixed,FALSE
Dothrakis_44.4,,Male,FALSE
Dothrakis_51.15,,Mixed,FALSE
Dothrakis_6.21,,Mixed,FALSE
Dour Eddison Tollett,,Male,TRUE
Drogo,,Male,TRUE
Drogon,,Male,TRUE
Drogo's men_30.1,,Male,FALSE
Dywen,,Male,TRUE
Ebben,,Male,TRUE
Eddard Stark,Ned,Male,TRUE
Edmure Tully,,Male,TRUE
Elia Martell,,Female,TRUE
Endrew Tarth,,Male,TRUE
Eon Hunter,,Male,TRUE
Falyse Stokeworth,,Female,TRUE
Farlen,,Male,TRUE
Farmers_5.9,,Mixed,FALSE
Firemage_44.7,,Male,FALSE
First man_23.10,,Male,FALSE
First men_23.10.1,,Male,FALSE
First men_23.10.2,,Male,FALSE
Flement Brax,,Male,TRUE
Frey men_19.20,,Male,FALSE
Frey men_9.6,,Male,FALSE
Frey's court_19.21,,Mixed,FALSE
Freys_54.5,,Male,FALSE
Gared,,Male,TRUE
Gariss,,Male,TRUE
Garlan Tyrell,,Male,TRUE
Gelmarr,,Male,TRUE
Gendry,,Male,TRUE
Gerold Hightower,,Male,TRUE
Ghost,,Male,TRUE
Gilly,,Female,TRUE
Girl_13.3,,Female,FALSE
Gladden Wylde,,Male,TRUE
Godwyn,,Male,TRUE
Gold cloacks_50.8,,Male,FALSE
Gold cloacks_54.17,,Male,FALSE
Gold cloaks_16.23,,Male,FALSE
Gold cloaks_21.23,,Male,FALSE
Gold cloaks_21.27,,Male,FALSE
Gold cloaks_28.10,,Male,FALSE
Gold cloaks_29.6,,Male,FALSE
Gold cloaks_49.4,,Male,FALSE
Gold cloaks_5.15,,Male,FALSE
Gregor Clegane,The Mountain,Male,TRUE
Grenn Aurochs,Grenn,Male,TRUE
Grey Wind,,Male,TRUE
Greyjoy men_42.12,,Male,FALSE
Greyjoy men_47.8,,Male,FALSE
Greyjoy men_48.19,,Male,FALSE
Greyjoy men_55.15,,Male,FALSE
Guard_10.14,,Male,FALSE
Guard_42.21,,Male,FALSE
Guard_50.17,,Male,FALSE
Guard_54.14,,Male,FALSE
Guards_11.16,,Male,FALSE
Guards_17.27,,Male,FALSE
Guards_21.24,,Male,FALSE
Guards_23.23,,Male,FALSE
Guards_3.8,,Male,FALSE
Guards_33.18,,Male,FALSE
Guards_37.18,,Male,FALSE
Guards_39.16,,Male,FALSE
Guards_40.19,,Male,FALSE
Guards_47.20,,Male,FALSE
Guards_5.21,,Male,FALSE
Guards_52.6,,Male,FALSE
Guests_2.12,,Mixed,FALSE
Guests_35.5,,Mixed,FALSE
Guests_36.20,,Mixed,FALSE
Guests_37.10,,Mixed,FALSE
Guests_51.11,,Mixed,FALSE
Guests_55.7,,Mixed,FALSE
Guncer Sunglass,,Male,TRUE
Gunthor,,Male,TRUE
Guyard Morrigen,,Male,TRUE
Gynir Rednose,,Male,TRUE
Haggo,,Male,TRUE
Halder Stone Head,Halder,Male,TRUE
Hali,,Female,TRUE
Hallis Mollen,,Male,TRUE
Hallyne,,Male,TRUE
Harra,,Female,TRUE
Harrag Sharp,,Male,TRUE
Harrenhal staff_39.16,,Mixed,FALSE
Harrion Karstark,,Male,TRUE
Harys Swyft,,Male,TRUE
Helman Tallhart,,Male,TRUE
High Septon_27.1,,Male,FALSE
High Sparrow,,Male,TRUE
Hobb Three-Finger,Hobb,Male,TRUE
Hobber Redwyne,,Male,TRUE
Hodor,,Male,TRUE
Host_39.15,,Mixed,FALSE
Host_49.20,,Mixed,FALSE
Hoster Tully,,Male,TRUE
Hot Pie,,Male,TRUE
Hother Umber,,Male,TRUE
Howland Reed,,Male,TRUE
Hubard Rambton,,Male,TRUE
Hugh of the Vale,,Male,TRUE
Illyrio Mopatis,Illyrio,Male,TRUE
Illyrio's men_1.29,,Male,FALSE
Ilyn Payne,Ilyn,Male,TRUE
Innkeeper_28.5,,Male,FALSE
Innkeeper_9.4,,Female,FALSE
Ironbelly,,Male,TRUE
Irri,,Female,TRUE
Jacelyn Bywater,,Male,TRUE
Jafer Flowers,,Male,TRUE
Jaggot,,Male,TRUE
Jailer_18.24,,Male,FALSE
Jaime Lannister,Jaime,Male,TRUE
Jalabhar Xho,,Male,TRUE
Janos Slynt,,Male,TRUE
Jaqen H'ghar,,Male,TRUE
Jarman Buckwell,,Male,TRUE
Jason Mallister,,Male,TRUE
Jeor Mormont,,Male,TRUE
Jeyne Poole,,Female,TRUE
Jhiqui,,Female,TRUE
Jhogo,,Male,TRUE
Joffrey Baratheon,Joffrey,Male,TRUE
Jojen Reed,,Male,TRUE
Jon Snow,Jon,Male,TRUE
Jon Umber,,Male,TRUE
Jonos Bracken,,Male,TRUE
Jorah Mormont,Jorah,Male,TRUE
Jorah Mormont's first wife_31.18,,Female,FALSE
Jory Cassel,,Male,TRUE
Joseth,,Male,TRUE
Joss,,Male,TRUE
Joyeuse Erenford,,Female,TRUE
Jugglers_35.8,,Mixed,FALSE
Karstark men_17.16,,Unknown,FALSE
Karyl Vance,,Male,TRUE
Kenned the Whale,,Male,TRUE
Kevan Lannister,,Male,TRUE
King's soldiers_2.1,,Male,FALSE
King's stewart_16.7,,Male,FALSE
Kingsguard_18.14,,Male,FALSE
Kingsguards_2.3,,Male,FALSE
Kingsguards_26.17,,Male,FALSE
Kingsguards_34.8,,Male,FALSE
Kingsguards_41.10,,Male,FALSE
Kingsguards_52.4,,Male,FALSE
Knight from the Vale_9.10,,Male,FALSE
Knight_11.13,,Male,FALSE
Knight_36.17,,Male,FALSE
Knights_9.28,,Male,FALSE
Kromm,,Male,TRUE
Kyra,,Female,TRUE
Lady,,Female,TRUE
Lancel Lannister,,Male,TRUE
Lannister guard_19.11,,Male,FALSE
Lannister man_19.14,,Male,FALSE
Lannister men_12.27,,Male,FALSE
Lannister men_16.16,,Male,FALSE
Lannister men_16.3,,Male,FALSE
Lannister men_18.11,,Male,FALSE
Lannister men_19.6,,Male,FALSE
Lannister men_21.11,,Male,FALSE
Lannister men_21.5,,Male,FALSE
Lannister men_23.13,,Male,FALSE
Lannister men_23.15,,Male,FALSE
Lannister men_23.21,,Male,FALSE
Lannister men_27.21,,Male,FALSE
Lannister men_27.3,,Male,FALSE
Lannister men_34.19,,Male,FALSE
Lannister men_39.22,,Male,FALSE
Lannister men_42.23,,Male,FALSE
Lannister men_43.13,,Male,FALSE
Lannister men_46.7,,Male,FALSE
Lannister men_47.23,,Male,FALSE
Lannister men_51.4,,Male,FALSE
Lannister men_52.11,,Male,FALSE
Lannister men_53.10,,Male,FALSE
Lannister men_9.5,,Male,FALSE
Lark the Sisterman,,Male,TRUE
Last Hero,,Male,TRUE
Last Hero's companions_7.23,,Mixed,FALSE
Little Walder Frey,,Male,TRUE
Lollys Stokeworth,,Female,TRUE
Lommy Greenhands,,Male,TRUE
Loras Tyrell,,Male,TRUE
Lorch men_32.16,,Male,FALSE
Lorch's men_39.19,,Male,FALSE
Lord of Bones,,Male,TRUE
Lord Varys,Varys,Male,TRUE
Lothar Frey,,Male,TRUE
Lothor Brune,,Male,TRUE
Lucan,,Male,TRUE
Lucas_39.15,,Male,TRUE
Lyanna Stark,,Female,TRUE
Lynesse Hightower,,Female,TRUE
Lysa Arryn,,Female,TRUE
Mace Tyrell,,Male,TRUE
Maege Mormont,,Female,TRUE
Maester Aemon,Aemon,Male,TRUE
Maester Ballabar,,Male,TRUE
Maester Colemon,Colemon,Male,FALSE
Maester Cressen,Cressen,Male,TRUE
Maester Luwin,Luwin,Male,TRUE
Maester Pycelle,Pycelle,Male,TRUE
Maester Pylos,Pylos,Male,TRUE
Maester Vyman,Vyman,Male,TRUE
Maester Wolkan,,Male,TRUE
Mago,,Male,TRUE
Maid_10.16,,Female,FALSE
Maid_11.18,,Female,FALSE
Maid_29.18,,Female,FALSE
Maid_3.19,,Female,FALSE
Maid_34.4,,Female,FALSE
Maid_42.21,,Female,FALSE
Maid_42.22,,Female,FALSE
Maid_47.23,,Female,FALSE
Maid_5.31,,Female,FALSE
Maid_8.3,,Female,FALSE
Maiden_3.3,,Female,FALSE
Maids_16.20,,Female,FALSE
Mallister men_9.3,,Male,FALSE
Manderly men_18.3,,Male,FALSE
Manderly men_33.4,,Male,FALSE
Mandon Moore,,Male,TRUE
Margaery Tyrell,,Female,TRUE
Marillion,,Male,TRUE
Marq Piper,,Male,TRUE
Mathis Rowan,,Male,TRUE
Matthar,,Male,TRUE
Meera Reed,,Female,TRUE
Melessa Florent,,Female,TRUE
Melisandre of Asshai,Melisandre,Female,TRUE
Meraxes,,Male,TRUE
Merchant_51.17,,Male,FALSE
Meryn Trant,,Male,TRUE
Messenger_21.15,,Male,FALSE
Mikken,,Male,TRUE
Miller's wife_51.11,,Female,FALSE
Mirri Maz Duur,,Female,TRUE
Mord,,Male,TRUE
Mors Umber,,Male,TRUE
Mother_31.13,,Female,FALSE
Murch_2.5,,Male,TRUE
Murch_48.19,,Male,TRUE
Mya Stone,,Female,TRUE
Mycah,,Male,TRUE
Myrcella Baratheon,,Female,TRUE
Nestor Royce,,Male,TRUE
Night's watch man_17.10,,Male,FALSE
Night's watch man_20.26,,Male,FALSE
Night's watch men_15.3,,Male,FALSE
Night's watch men_15.8,,Male,FALSE
Night's watch men_17.10,,Male,FALSE
Night's watch men_17.3,,Male,FALSE
Night's watch men_20.25,,Male,FALSE
Night's watch men_31.4,,Male,FALSE
Night's watch men_31.8,,Male,FALSE
Night's watch men_35.11,,Male,FALSE
Night's watch men_41.20,,Male,FALSE
Night's watch men_41.21,,Male,FALSE
Night's watch men_41.23,,Male,FALSE
Night's watch men_45.19,,Male,FALSE
Night's watch men_7.3,,Male,FALSE
Night's watch men_8.17,,Male,FALSE
Night's watch prospects_26.5,,Male,FALSE
Night's watch recruits_13.10,,Male,FALSE
Night's watch recruits_27.6,,Male,FALSE
Night's watch recruits_8.21,,Male,FALSE
Night's watch recruits_8.22,,Male,FALSE
Night's watch soldiers_6.10,,Male,FALSE
Night's watch soldiers_6.9,,Male,FALSE
Northern lords_23.18,,Mixed,FALSE
Northern prisonners_47.13,,Male,FALSE
Northmen_55.14,,Male,FALSE
Nymeria,,Female,TRUE
Ogo's khalasar_20.4,,Mixed,FALSE
Old Nan,,Female,TRUE
Old woman_28.5,,Female,FALSE
Old woman_31.13,,Female,FALSE
Orell,,Male,TRUE
Osha,,Female,TRUE
Osha's brother_17.20,,Male,FALSE
Osmund Kettleblack,,Male,TRUE
Osney Kettleblack,,Male,TRUE
Oswell Whent,,Male,TRUE
Other_1.5,,Male,FALSE
Others_7.23.1,,Male,FALSE
Others_7.23.2,,Male,FALSE
Others_7.24,,Male,FALSE
Othor,,Male,TRUE
Outriders_31.13,,Male,FALSE
Parmen Crane,,Male,TRUE
Passerbys_29.11,,Unknown,FALSE
Patchface,,Male,TRUE
Patrek Mallister,,Male,TRUE
Petyr Baelish,Littlefinger,Male,TRUE
Mebble Pinkeye,,Male,TRUE
Podrick Payne,,Male,TRUE
Polliver,,Male,TRUE
Poxy Tym,,Male,TRUE
Prisonner_20.5,,Male,FALSE
Prisonner_38.4,,Male,FALSE
Prisonner_38.5.1,,Male,FALSE
Prisonner_38.5.2,,Male,FALSE
Prisonner_38.5.3,,Male,FALSE
Prisonner_38.5.4,,Male,FALSE
Prisonners_20.11,,Mixed,FALSE
Prisonners_38.4,,Mixed,FALSE
Prisonners_54.21,,Male,FALSE
Prostitutes_12.26,,Female,FALSE
Prostitutes_40.8,,Female,FALSE
Prostitutes_6.17,,Female,FALSE
Puppeteer_13.23,,Male,FALSE
Pyat Pree,,Male,TRUE
Pypar Pyp Monkey,Pypar,Male,TRUE
Qarth warlocks_8.19,,Male,FALSE
Qhorin Halfhand,,Male,TRUE
Qotho,,Male,TRUE
Quaithe of the Shadow,,Female,TRUE
Quaro,,Male,TRUE
Queen's men_29.12,,Male,FALSE
Quhuru Mo,,Male,TRUE
Rafford,,Male,TRUE
Ragwyle,,Female,TRUE
Rakharo,,Male,TRUE
Rambton's 3 sons,,Male,FALSE
Ramsay Bolton,,Male,TRUE
Randyll Tarly,,Male,TRUE
Rapists_20.6,,Male,FALSE
Rast Rat,Rast,Male,TRUE
Raymun Darry,,Male,TRUE
Red Lorren,,Male,FALSE
Red Rolfe,,Male,TRUE
Renly Baratheon,Renly,Male,TRUE
Renly's men_36.15,,Male,FALSE
Renly's men_36.16,,Male,FALSE
Renly's men_39.5,,Male,FALSE
Renly's men_40.14,,Male,FALSE
Rhaegal,,Male,TRUE
Rhaegar Targaryen,,Male,TRUE
Rhaego Targaryen,,Male,TRUE
Rhaenys Targaryen,,Female,TRUE
Rhaenys Targaryen I,,Female,TRUE
Rickard Karstark,,Male,TRUE
Rickard Stark,,Male,TRUE
Rickon Stark,Rickon,Male,TRUE
Robar Royce,,Male,TRUE
Robb Stark,Robb,Male,TRUE
Robb's host_19.16,,Mixed,FALSE
Robb's men_17.24,,Male,FALSE
Robert Arryn,,Male,TRUE
Robert Baratheon,Robert,Male,TRUE
Robert's squires_9.21,,Male,FALSE
Robett Glover,,Male,TRUE
Robin Ryger,,Male,TRUE
Rodrik Cassel,,Male,TRUE
Roose Bolton,,Male,TRUE
Rorge,,Male,TRUE
Rymund the Rhymer,,Male,TRUE
Sailor_21.24,,Male,FALSE
Sailors_30.15,,Male,FALSE
Sailors_43.13,,Male,FALSE
Salladhor Saan,,Male,TRUE
Salloreon,,Male,TRUE
Samwell Tarly,Sam,Male,TRUE
Sandor Clegane,The Hound,Male,TRUE
Sansa Stark,Sansa,Female,TRUE
Sealord_16.15,,Male,FALSE
Sellswords_10.5,,Male,FALSE
Selyse Florent,,Female,TRUE
Septa Eglantine,,Female,TRUE
Septa Mordane,,Female,TRUE
Septon Barre,,Male,TRUE
Septon Cellador,,Male,TRUE
Septon Chayle,,Male,TRUE
Septon_13.24,,Male,FALSE
Servant_2.24,,Unknown,FALSE
Servant_3.6,,Male,FALSE
Servant_37.22,,Female,FALSE
Servant_37.8,,Male,FALSE
Servant_44.9,,Female,FALSE
Servant_46.13,,Male,FALSE
Servant_6.12,,Male,FALSE
Servant_7.14,,Male,FALSE
Servant_8.8,,Male,FALSE
Servants_35.5,,Mixed,FALSE
Servants_4.7,,Male,FALSE
Servants_50.5,,Mixed,FALSE
Shae,,Female,TRUE
Shagga,,Male,TRUE
Shaggydog,,Male,TRUE
Shagwell the Fool,,Male,TRUE
Shireen Baratheon,,Female,TRUE
Shitmouth,,Male,TRUE
Silent sisters_43.11,,Female,FALSE
Silent Sisters_55.4,,Female,FALSE
Slaves_1.26,,Female,FALSE
Slaves_22.19,,Mixed,FALSE
Slaves_38.9,,Mixed,FALSE
Slaves_46.21,,Mixed,FALSE
Soldier_36.23,,Male,FALSE
Soldier_8.10,,Male,FALSE
Soldier_8.8,,Male,FALSE
Soldiers_13.12,,Male,FALSE
Soldiers_16.8,,Male,FALSE
Soldiers_18.6,,Male,FALSE
Soldiers_4.11,,Male,FALSE
Soldiers_4.15,,Male,FALSE
Soldiers_40.22,,Male,FALSE
Soldiers_47.19,,Male,FALSE
Sorrowful Man_51.19,,Unknown,FALSE
Squire Dalbridge,,Male,TRUE
Stableboy_16.21,,Male,FALSE
Stableboy_54.13,,Male,FALSE
Stablehands_11.13,,Unknown,FALSE
Staff_39.18,,Male,FALSE
Staff_39.19,,Mixed,FALSE
Staff_42.20,,Unknown,FALSE
Staff_42.24,,Mixed,FALSE
Stannis Baratheon,Stannis,Male,TRUE
Stannis's fleet_52.8,,Mixed,FALSE
Stannis's host_44.11,,Mixed,FALSE
Stannis's men_39.5,,Male,FALSE
Stannis's men_52.17,,Male,FALSE
Stannis's men_53.11,,Male,FALSE
Stannis's men_53.14,,Male,FALSE
Stannis's shadow_40.18,,Male,FALSE
Stannis's shadow_44.23,,Male,FALSE
Stark man_28.1,,Male,FALSE
Stark men_12.26,,Male,FALSE
Stark men_12.3,,Male,FALSE
Stark men_17.18,,Male,FALSE
Stark men_17.22,,Mixed,FALSE
Stark men_19.28,,Male,FALSE
Stark men_21.12,,Male,FALSE
Stark men_21.16,,Male,FALSE
Stark men_23.13,,Male,FALSE
Stark men_23.17,,Male,FALSE
Stark men_23.3,,Male,FALSE
Stark men_28.15,,Mixed,FALSE
Stark men_36.13,,Mixed,FALSE
Stark men_36.14,,Male,FALSE
Stark men_39.4,,Male,FALSE
Stark men_40.14,,Male,FALSE
Stark men_40.23,,Male,FALSE
Stark men_43.4,,Male,FALSE
Stark soldier_5.13,,Male,FALSE
Stark soldiers_1.10,,Male,FALSE
Stark soldiers_7.25,,Male,FALSE
Stark staff_47.8,,Mixed,FALSE
Stevron Frey,,Male,TRUE
Stiv,,Male,TRUE
Stonesnake,,Male,TRUE
Street merchant_21.23,,Male,FALSE
Strong Belwas,,Male,TRUE
Stygg,,Male,TRUE
Summer,,Male,TRUE
Symon Silver Tongue,,Male,TRUE
Syrio Forel,,Male,TRUE
Tanda Stokeworth,,Female,TRUE
Tarly's master-at-arm_8.19,,Male,FALSE
The Tickler,,Male,TRUE
Theon Greyjoy,Theon,Male,TRUE
Thoren Smallwood,,Male,TRUE
Thoros of Myr,,Male,TRUE
Brynden Rivers,,Male,TRUE
Timett,,Male,TRUE
Tobho Mott,,Male,TRUE
Todder Toad,Todder,Male,TRUE
Tommen Baratheon,Tommen,Male,TRUE
Torrek,,Male,TRUE
Torrhen Karstark,,Male,TRUE
Travelers_28.4,,Mixed,FALSE
Tully men_13.21,,Male,FALSE
Tully men_23.15,,Male,FALSE
Tully men_43.4,,Male,FALSE
Tully men_46.4,,Male,FALSE
Tully men_46.7.1,,Male,FALSE
Tully men_46.7.2,,Male,FALSE
Tymor,,Male,TRUE
Tyrion Lannister,Tyrion,Male,TRUE
Tyrion's men_32.9,,Male,FALSE
Tyrion's men_36.6,,Male,FALSE
Tyrion's men_36.7,,Male,FALSE
Tyrion's squire_21.10,,Male,FALSE
Tysha,,Female,TRUE
Tytos Brax,,Male,TRUE
Tywin Lannister,Tywin,Male,TRUE
Ulf the Ill,,Male,TRUE
Urzen,,Male,TRUE
Utherydes Wayn,,Male,TRUE
Vale noblemen_13.21,,Male,FALSE
Vardis Egen,,Male,TRUE
Vargo Hoat,,Male,TRUE
Varys's men_27.22,,Male,FALSE
Vhagar,,Female,TRUE
Victarion Greyjoy,,Male,TRUE
Victim_20.6,,Female,FALSE
Villagers_12.4,,Mixed,FALSE
Villagers_20.4,,Mixed,FALSE
Villagers_20.9,,Mixed,FALSE
Villagers_33.12,,Mixed,FALSE
Villagers_5.5,,Mixed,FALSE
Villagers_7.23,,Mixed,FALSE
Visenya Targaryen,,Female,TRUE
Viserion,,Male,TRUE
Viserys Targaryen,Viserys,Male,TRUE
Vylarr,,Male,TRUE
Waitress_2.16,,Female,FALSE
Walder Frey,,Male,TRUE
Wallen,,Male,TRUE
Waymar Royce,,Male,TRUE
Waynwood men_11.3,,Male,FALSE
Weasel,,Female,TRUE
Weese,,Male,TRUE
Wendel Manderly,,Male,TRUE
Werlag,,Male,TRUE
Wex Pyke,,Male,TRUE
Whent men_9.6,,Male,FALSE
Whore_21.25,,Female,FALSE
Wight_17.21,,Male,FALSE
Wildling_48.6,,Male,FALSE
Wildlings_55.10,,Mixed,FALSE
Will_1.3,,Male,TRUE
Willem Darry,,Male,TRUE
Wine merchant_17.28,,Male,FALSE
Wizards_46.19,,Mixed,FALSE
Wolf_30.11,,Unknown,FALSE
Woman_30.8,,Female,FALSE
Woman_31.13,,Female,FALSE
Woth,,Male,TRUE
Wylis Manderly,,Male,TRUE
Wyman Manderly,,Male,TRUE
Xaro Xhoan Daxos,,Male,TRUE
Ygritte,,Female,TRUE
Yoren,,Male,TRUE
